DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Price,Ecology_2_A,Ecology_3_A,Shops_2_A
35,2,47.981561235175036,29.44275054713416,6.0,7,9,1969,0.089039719,33,7976,5,900.0,0,11,184966.9307298416,0,0,0
41,3,65.68363987232783,40.04954252356546,8.0,7,9,1978,6.99893e-05,46,10309,1,240.0,1,16,300009.4500627274,0,0,0
53,2,44.947952764125006,29.1976116880482,6.0,8,12,1968,0.049637257,34,7759,0,229.0,1,3,220925.90852358093,0,0,0
58,2,53.352981355613345,34.352981355613345,9.0,8,17,1977,0.43788524,23,5735,3,1084.0,0,5,175616.22721724625,0,0,0
99,1,39.649191950029994,23.7761691108976,7.0,11,12,1976,0.012338886,35,5776,1,2078.0,2,4,150226.5316437466,0,0,0
59,3,80.38447920267191,46.68372012823429,12.0,5,17,2011,0.309479124,35,7715,4,990.0,0,6,215898.44774214894,0,0,0
154,2,62.254113586402504,37.16037741888674,7.0,3,5,1960,0.460556389,20,4386,14,900.0,1,5,296021.2043771131,0,0,0
74,2,80.31292563185586,32.5521342349919,6.0,14,18,1977,0.075778755,6,1437,3,900.0,0,2,221244.15666358554,0,0,0
1,2,64.51143730838427,32.5521342349919,1.0,9,17,1977,0.007122317,1,264,0,900.0,0,1,229102.7959994131,0,0,0
23,1,46.46140869718414,18.915552483878766,8.0,13,17,2014,0.075778755,6,1437,3,900.0,0,2,95380.22099316985,0,0,0
28,2,46.30490677332586,27.922584447134266,6.0,8,9,1973,0.118537385,30,6207,1,1183.0,1,0,204243.55312879704,0,0,0
31,3,68.80885909839964,45.736905639421956,7.0,1,8,1959,0.0,23,3684,2,900.0,0,4,165534.5414246522,0,0,0
13,2,54.5228049029371,31.75975305618809,1.0,8,12,1999,0.090799103,74,19083,2,900.0,5,15,229220.37260914012,0,0,0
57,3,68.10273923286483,39.3114930561345,8.0,6,12,1980,0.13321533300000002,49,11395,3,1406.0,3,4,252481.9083226248,0,0,1
27,1,53.769097136525275,52.40802696611313,1.0,5,5,1977,0.072157581,2,629,1,900.0,0,0,140647.56593684404,0,0,1
85,3,73.6122247317727,53.89208948435271,6.0,4,9,1979,0.037177818,52,11217,1,2300.0,1,7,89084.32787608178,0,0,0
27,2,49.36064780032354,31.993963547007414,5.0,6,7,1983,0.051815435,5,1227,0,900.0,0,0,117000.38128669599,0,0,0
34,2,57.969964222530145,32.01248263525128,9.0,6,14,2001,0.069753361,53,13670,4,900.0,1,11,231828.43766693235,0,0,0
57,1,44.51348081256669,23.113423134573804,8.0,6,12,1983,0.13321533300000002,49,11395,3,1406.0,3,4,183743.23046424173,0,0,1
19,3,110.95979224728356,56.996764901321505,11.0,16,25,2012,0.000991363,33,6783,3,900.0,1,9,394895.32598680095,0,0,0
0,3,103.60529197422831,47.799426262469524,10.0,12,17,2002,0.319809354,25,4756,16,2857.0,5,8,521919.0573998705,0,0,0
27,2,64.71183493873933,32.5521342349919,1.0,15,15,1977,0.211401214,9,1892,0,900.0,0,1,127200.02651097006,0,0,0
48,1,41.668649656506325,20.207761889892915,10.0,19,22,1996,0.041124634,46,9515,5,900.0,1,10,215083.96905610108,0,0,0
54,3,118.90761184257369,46.96048008775955,7.0,2,4,1977,0.006076152,30,5285,0,645.0,6,6,571069.0526003882,0,0,0
150,3,62.180535989371776,44.169694075407364,5.0,4,5,1964,0.020741326,24,5613,5,1340.0,2,5,241718.0995266293,0,0,0
74,2,82.66791473448255,32.5521342349919,1.0,16,17,1977,0.075778755,6,1437,3,900.0,0,2,244145.8270685723,0,0,0
27,3,106.95887123511149,46.96048008775955,7.0,17,19,2018,0.072157581,2,629,1,900.0,0,0,337299.86793644377,0,0,1
23,2,64.55620925344805,32.5521342349919,1.0,8,17,1977,0.075778755,6,1437,3,900.0,0,2,173910.92372317292,0,0,0
23,1,42.53004325868857,31.530043258688572,1.0,3,9,2014,0.034656082000000005,0,168,0,900.0,0,0,95338.19854860756,0,0,0
11,2,48.37223191245333,31.00758147862463,6.0,4,9,1972,0.00016967599999999998,36,5992,0,900.0,1,1,213374.16640304858,0,0,0
50,2,39.43535081853332,23.37768698871145,7.0,9,9,1965,0.007658515,35,7077,56,2301.0,3,19,283877.6171417454,0,0,0
61,1,41.7651555000357,19.343185677164602,9.0,12,16,1984,0.300322518,52,10311,6,900.0,1,9,189007.23894421052,0,0,0
27,2,63.679115983087094,37.275774657400376,1.0,9,15,1977,0.017647053,2,469,0,900.0,0,0,178721.70633739038,0,0,0
44,1,34.7672268816687,18.209648101536544,6.0,7,9,1972,0.036122292,24,4378,0,1036.0,1,1,154928.80993818038,0,0,0
90,2,42.17678220950818,28.085689937853193,5.0,2,5,1965,0.265088676,37,5288,0,1937.0,3,2,176344.82040566398,0,0,0
200,3,85.28038875664878,58.447967179062545,9.0,6,7,1960,0.0,33,7425,1,900.0,2,5,402871.91631724115,0,0,0
23,1,41.11876598003856,21.66392883217304,1.0,4,17,1977,0.075778755,6,1437,3,900.0,0,2,103510.22360146276,0,0,0
43,2,43.701661788670734,26.350358249023103,5.0,5,9,1961,0.015016892,17,3079,59,2890.0,0,8,287056.01254272985,0,0,0
177,3,77.8739361356098,48.99113289942049,12.0,9,25,2012,0.0,36,6714,2,2672.0,0,2,191550.1213566216,0,0,0
23,2,60.503248324677,32.5521342349919,6.0,16,17,1977,0.034656082000000005,0,168,0,900.0,0,0,229778.0579017187,0,0,0
99,2,45.257138805377025,32.61382570011897,5.0,4,5,1971,0.033493708,66,10573,1,1322.0,3,8,171266.94942738526,0,0,0
101,3,58.4198155580721,37.27561392063118,5.0,5,5,1963,0.225824954,41,6558,7,1548.0,3,2,197456.9208142761,1,0,0
1,2,56.49431782042168,40.49431782042168,6.0,9,17,1977,0.007122317,1,264,0,900.0,0,1,196078.90728935658,0,0,0
23,2,58.692132931238426,32.5521342349919,1.0,16,17,1977,0.075778755,6,1437,3,900.0,0,2,184501.01122512695,0,0,0
38,3,104.21139562017449,87.21139562017449,7.0,20,20,2017,0.060753049,15,2787,2,520.0,0,7,435462.0480700058,0,0,0
21,2,48.85174210675611,33.533432105863035,5.0,5,5,1970,0.194489265,47,8004,3,125.0,3,5,183826.31652243072,0,0,0
23,2,49.929488622133064,32.5521342349919,1.0,9,12,1977,0.034656082000000005,0,168,0,900.0,0,0,88464.4253950588,0,0,0
103,1,41.53813827372754,23.292934580888872,8.0,7,16,1981,0.014423114,19,3806,4,900.0,0,3,234052.26552661308,0,0,0
23,1,47.080100247481404,25.080100247481404,12.0,3,9,1977,0.014072961,2,475,0,900.0,0,0,96029.16787733519,0,0,0
98,1,41.27061351984075,20.45594534035546,7.0,8,14,2003,0.195781053,23,5212,6,900.0,3,2,214733.34225833853,0,0,0
170,1,35.390235379659565,21.675589451961883,5.0,3,5,1963,0.21843974,21,4472,6,1450.0,4,7,172795.8670771811,0,0,1
94,1,35.28089402875877,23.35417623467495,6.0,11,12,1971,0.282797669,33,8667,2,900.0,0,6,148862.21017433386,0,0,0
1,2,61.40005437465901,45.40005437465901,6.0,17,22,2016,0.007122317,1,264,0,900.0,0,1,199215.45222932714,0,0,0
44,1,31.89348347603991,20.94667055523254,7.0,3,14,1973,0.175054867,36,10055,3,900.0,1,0,182946.36203104112,0,0,0
1,1,42.41417613853096,21.66392883217304,1.0,14,17,1977,0.007122317,1,264,0,900.0,0,1,156476.61434830475,0,0,0
48,3,60.49673620327934,38.701932866274475,6.0,4,9,1980,0.041124634,46,9515,5,900.0,1,10,276349.9122838608,0,0,0
5,2,54.477432041659135,31.149444195768496,7.0,14,22,1991,0.150817539,16,3433,4,2643.0,4,5,279119.9134223016,0,0,0
23,2,56.21870163187176,32.5521342349919,1.0,3,3,1977,0.005767451,1,388,0,900.0,0,0,90303.66568299793,0,0,0
28,1,38.007936217693626,23.281713820168363,9.0,1,12,1970,0.118537385,30,6207,1,1183.0,1,0,147636.76035604483,0,0,0
11,2,57.322494472127154,31.78800632302188,10.0,5,16,1980,0.00016967599999999998,36,5992,0,900.0,1,1,242402.234569005,0,0,0
88,2,47.31752643089487,31.100516771763807,6.0,6,12,1975,0.127375905,43,8429,3,900.0,3,9,207641.6759898469,0,0,0
1,2,65.02389875686265,32.5521342349919,1.0,10,17,1977,0.007122317,1,264,0,900.0,0,1,197343.7979853104,0,0,0
47,2,54.7873237643134,33.512142879434535,8.0,1,12,1978,6.99893e-05,46,10309,1,240.0,1,16,100471.95261307227,0,0,0
6,1,42.50553193590355,21.66392883217304,1.0,6,12,2014,0.243204519,5,1564,0,540.0,0,0,113617.2195706784,0,0,0
52,2,64.14115197487071,32.5521342349919,1.0,5,17,1977,0.371148999,34,7065,1,750.0,2,5,158148.93648361234,0,0,0
62,1,41.19418849786451,21.66392883217304,6.0,6,7,1977,0.072157581,2,629,1,900.0,0,0,114063.0920409234,0,0,1
31,2,57.95597269122314,32.27257840039711,9.0,17,17,2001,0.151346216,32,5889,10,830.0,4,1,339414.5500190396,0,1,0
57,2,45.96488978915266,29.141211816173783,5.0,7,9,1963,0.13321533300000002,49,11395,3,1406.0,3,4,180538.89892241484,0,0,1
77,1,42.67884386982604,23.918634033545928,8.0,14,18,1983,6.99893e-05,46,10309,1,240.0,1,16,179784.4733339991,0,0,0
27,2,64.92910276079539,44.92910276079539,10.0,15,17,2016,0.072157581,2,629,1,900.0,0,0,228584.00107195406,0,0,1
27,2,79.22704893716298,32.5521342349919,6.0,9,13,1977,0.072157581,2,629,1,900.0,0,0,167023.97314312926,0,0,1
74,2,84.68773160202026,68.68773160202026,6.0,12,17,2017,0.075778755,6,1437,3,900.0,0,2,243479.876105312,0,0,0
74,1,52.45758937232919,36.45758937232919,6.0,18,21,1977,0.075778755,6,1437,3,900.0,0,2,160292.1637018166,0,0,0
79,1,39.42966643301249,18.519732724337832,9.0,2,16,1981,0.16909109,19,3856,10,900.0,2,5,174952.64419069275,0,0,0
6,2,63.184422013103685,61.14289377226982,1.0,17,17,2016,0.243204519,5,1564,0,540.0,0,0,190762.98155043615,0,0,0
9,1,50.299167150679395,24.3496040418,9.0,11,16,2006,0.136244425,11,2370,0,900.0,0,1,197101.04908793507,0,0,0
34,1,47.90932737998546,42.78238540963264,1.0,2,4,2016,0.069753361,53,13670,4,900.0,1,11,181167.64240357085,0,0,0
85,4,65.55983414534953,47.696254952296684,6.0,6,9,1976,0.037177818,52,11217,1,2300.0,1,7,266989.0161418366,0,0,0
156,1,39.24892718662953,21.592325047856093,7.0,13,17,2009,0.007658515,35,7077,56,2301.0,3,19,254236.32508556198,0,0,0
69,1,39.252554812007496,19.394250723900626,7.0,1,16,1985,0.000991363,33,6783,3,900.0,1,9,184737.9210694037,0,0,0
108,2,49.888740020585054,31.603650465162,6.0,9,12,1974,0.0,23,3684,2,900.0,0,4,261086.02440592513,0,0,0
96,2,62.78380934113364,35.222368111513255,10.0,5,10,1994,0.041116354,53,14892,4,900.0,1,4,259293.02212247785,0,0,0
169,2,58.433607265665074,31.08698930261341,8.0,3,14,1970,0.210473241,11,2398,2,1994.0,3,0,116661.59548998011,0,0,0
18,2,61.71855284835026,33.0401150131786,10.0,10,11,2000,0.0,30,5562,0,900.0,0,5,267609.8272514647,0,0,1
21,1,42.5012260708919,22.91573470453811,8.0,2,12,1979,0.194489265,47,8004,3,125.0,3,5,153038.21948532813,0,0,0
27,2,54.583231282802906,33.320302288938066,11.0,2,9,2000,0.041116354,53,14892,4,900.0,1,4,238779.44765093192,0,0,0
148,3,127.48158341963554,46.96048008775955,1.0,16,17,2012,0.313924552,22,4625,11,3855.0,2,10,510700.4447348914,0,0,0
94,2,47.145626414517814,30.738284138231354,5.0,11,12,1976,0.127375905,43,8429,3,900.0,3,9,210364.31471895878,0,0,0
41,2,48.07704110377844,28.835116601308275,5.0,5,9,1968,0.175054867,36,10055,3,900.0,1,0,198183.07691950462,0,0,0
128,2,52.08218293973108,34.01705745296253,8.0,7,17,1994,0.0,27,4798,0,30.0,2,8,243824.7929712899,0,0,0
10,2,50.29076173681866,32.460809440510396,6.0,12,12,1973,0.089039719,33,7976,5,900.0,0,11,242107.0978653341,0,0,0
144,2,49.0307877478954,31.91889562577639,8.0,2,5,1964,0.306977489,27,5148,14,1575.0,5,7,212786.0017001436,0,0,0
120,3,58.57037093462771,37.434125981371615,5.0,4,5,1961,0.341071945,27,5664,48,2300.0,3,11,305732.5862953504,0,0,0
39,1,34.19820977216433,20.981127484293157,6.0,7,9,1973,0.428825818,25,5011,8,730.0,0,2,156375.02000227175,0,0,0
7,3,74.97105425768765,46.23924761599082,10.0,16,17,1987,0.0,23,5067,4,900.0,2,6,415398.5730306261,0,0,0
34,2,61.33496777880346,32.5521342349919,1.0,26,27,2014,0.069753361,53,13670,4,900.0,1,11,286564.4419718113,0,0,0
27,2,58.93727974313555,34.74006979324089,11.0,2,7,1998,0.041116354,53,14892,4,900.0,1,4,217349.25658949924,0,0,0
84,3,63.72823655447478,38.96093513166355,6.0,9,9,1971,0.14966637300000002,22,4789,2,4087.0,4,1,291058.0808994419,0,0,0
23,1,41.84569772836166,21.66392883217304,1.0,14,17,1977,0.075778755,6,1437,3,900.0,0,2,110620.6293204901,0,0,0
61,1,33.646711450929125,21.42355298005255,5.0,8,9,1975,0.300322518,52,10311,6,900.0,1,9,165018.9484643495,0,0,0
1,1,50.61776843485736,46.505676134063826,1.0,10,24,1977,0.007122317,1,264,0,900.0,0,1,175188.95821584578,0,0,0
1,2,62.96990315347615,31.74561055395469,10.0,14,14,2014,0.007122317,1,264,0,900.0,0,1,92127.0617882676,0,0,0
123,2,58.91191808519165,33.6122411146587,9.0,12,17,2005,0.0,47,11319,0,1145.0,3,5,274570.7175007904,0,0,0
23,2,48.76013224783535,32.5521342349919,1.0,3,3,1977,0.034656082000000005,0,168,0,900.0,0,0,113250.42650034721,0,0,0
9,2,62.34715418212179,32.5521342349919,1.0,6,7,1977,0.161531741,25,5648,1,30.0,2,4,184172.97563930124,0,0,0
1,2,53.18796830353497,34.82049795088077,8.0,7,17,1990,0.025609157,33,5261,0,240.0,3,1,241419.59687217,0,0,0
57,3,64.0151002560132,43.84285219250445,6.0,10,12,1984,0.13321533300000002,49,11395,3,1406.0,3,4,270071.6195151077,0,0,1
159,3,61.809021596554686,40.44472528024896,6.0,2,9,1972,0.015016892,17,3079,59,2890.0,0,8,378581.5411997035,0,0,0
27,2,62.224569197974155,58.5039850086156,1.0,8,17,2016,0.017647053,2,469,0,900.0,0,0,192625.0493997445,0,0,0
